,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.364789867401123,0.2569100484248882,0.160200834274292,0.027926912835240996,0.0017408272233952523,0.011410332998526826,188,6,3,"{'classifier__l2_regularization': 0.0017408272233952523, 'classifier__learning_rate': 0.011410332998526826, 'classifier__max_bins': 188, 'classifier__max_leaf_nodes': 6, 'classifier__min_samples_leaf': 3}",0.8205268186160776,0.8155883155883156,0.816953316953317,0.8157248157248157,0.8173628173628174,0.8172312168490686,0.0017845955818461862,65
1,1.1658782958984375,0.15408079180275594,0.15630655288696288,0.02842905580632511,1.9136604251244653e-05,0.06028862815482553,244,3,7,"{'classifier__l2_regularization': 1.9136604251244653e-05, 'classifier__learning_rate': 0.06028862815482553, 'classifier__max_bins': 244, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 7}",0.8359492288794869,0.8323778323778324,0.8338793338793339,0.8352443352443353,0.8372918372918373,0.8349485135345652,0.0016930241972086945,55
2,1.8296579837799072,0.13516398260481166,0.1389589786529541,0.018306992467964186,3.501402033579731e-06,0.001020678930057897,3,16,10,"{'classifier__l2_regularization': 3.501402033579731e-06, 'classifier__learning_rate': 0.001020678930057897, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 16, 'classifier__min_samples_leaf': 10}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
3,7.492448472976685,0.1451009425661354,0.1751072883605957,0.004313247657277073,2.283546046272413,0.0040122337715233145,149,131,3,"{'classifier__l2_regularization': 2.283546046272413, 'classifier__learning_rate': 0.0040122337715233145, 'classifier__max_bins': 149, 'classifier__max_leaf_nodes': 131, 'classifier__min_samples_leaf': 3}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
4,3.556845712661743,0.21983208050898032,0.1792520046234131,0.021931411965349642,2.839202430105061,0.005506323464750432,86,51,1,"{'classifier__l2_regularization': 2.839202430105061, 'classifier__learning_rate': 0.005506323464750432, 'classifier__max_bins': 86, 'classifier__max_leaf_nodes': 51, 'classifier__min_samples_leaf': 1}",0.8180701514944725,0.8116298116298116,0.8143598143598143,0.8117663117663118,0.8123123123123123,0.8136276803125446,0.0024272591777482946,71
5,1.2145905494689941,0.037514991193169346,0.13168301582336425,0.00943652299666896,2.381810102843313,0.11816586194241356,30,7,1,"{'classifier__l2_regularization': 2.381810102843313, 'classifier__learning_rate': 0.11816586194241356, 'classifier__max_bins': 30, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 1}",0.8543742322915245,0.8596778596778597,0.8533988533988534,0.853944853944854,0.8536718536718537,0.855013530596989,0.0023543159223207077,25
6,1.423431158065796,0.016244414897080423,0.13040099143981934,0.005985034342858103,0.011202497161396116,0.053259331819148895,3,11,78,"{'classifier__l2_regularization': 0.011202497161396116, 'classifier__learning_rate': 0.053259331819148895, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 11, 'classifier__min_samples_leaf': 78}",0.8067421864337382,0.8082173082173082,0.8087633087633087,0.8063063063063063,0.8064428064428064,0.8072943832326935,0.0010015920415048134,77
7,2.2666854858398438,0.14546551693340942,0.18592233657836915,0.04366241664728802,79.4722728262839,0.0036674801088339695,85,26,13,"{'classifier__l2_regularization': 79.4722728262839, 'classifier__learning_rate': 0.0036674801088339695, 'classifier__max_bins': 85, 'classifier__max_leaf_nodes': 26, 'classifier__min_samples_leaf': 13}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,119
8,0.9214453220367431,0.10477625801552706,0.13184261322021484,0.038226764060845755,5.462204339067985,0.01663049033398519,60,3,7,"{'classifier__l2_regularization': 5.462204339067985, 'classifier__learning_rate': 0.01663049033398519, 'classifier__max_bins': 60, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 7}",0.7982803330148764,0.7945672945672946,0.7919737919737919,0.7930657930657931,0.7930657930657931,0.7941906011375097,0.002205104715587618,95
9,2.281921148300171,0.17421695355207859,0.14640140533447266,0.01371915150887548,0.08316300549924353,0.004478026384537735,23,27,12,"{'classifier__l2_regularization': 0.08316300549924353, 'classifier__learning_rate': 0.004478026384537735, 'classifier__max_bins': 23, 'classifier__max_leaf_nodes': 27, 'classifier__min_samples_leaf': 12}",0.7915927391838405,0.786923286923287,0.7897897897897898,0.7878787878787878,0.7877422877422877,0.7887853783035986,0.0016892273956806941,101
10,0.7874517440795898,0.02592097601243471,0.12179999351501465,0.017151477386496947,1.7926736800525845e-05,0.04120382276555289,8,2,1,"{'classifier__l2_regularization': 1.7926736800525845e-05, 'classifier__learning_rate': 0.04120382276555289, 'classifier__max_bins': 8, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 1}",0.7876347754879214,0.7854217854217854,0.7822822822822822,0.7844662844662844,0.7885612885612886,0.7856732832439125,0.002245306716776452,105
